Título,Rating,Porciones,Tiempo total,Ingredientes,Descripción,Pasos,Nutrición
Oyakodon (Japanese Chicken and Egg Rice Bowl),4.5,4,40 mins,"['1 tablespoon olive oil', '4  skinless, boneless chicken thighs, cut into small pieces', '1  onion, cut in half and sliced', '2 cups dashi stock, made with dashi powder', '¼ cup soy sauce', '3 tablespoons mirin (Japanese rice wine)', '3 tablespoons brown sugar', '4 large eggs', '4 cups hot cooked white rice']","Oyakodon is a delicious traditional Japanese meal consisting of chicken sautéed and then cooked in a Japanese broth, and then finished with egg and served over rice. It's really easy, filling, and delicious.","['Heat oil in a large skillet over medium heat. Add chicken and cook until beginning to brown, about 5 minutes. Add onion; cook and stir until onion is translucent, about 5 minutes.', 'Pour in stock, then whisk in soy sauce, mirin, and brown sugar; stir until sugar dissolves. Bring to a boil, then lower heat and simmer until slightly reduced, about 10 minutes.', 'Whisk eggs in a bowl until well-beaten, then pour into the hot stock mixture. Cover the skillet, reduce the heat, and steam until egg is cooked, about 5 minutes. Remove from the heat.', 'Divide rice among 4 deep soup bowls and top with equal amounts of the soup mixture.']","{'Calories': '688', 'Fat': '15g', 'Carbs': '98g', 'Protein': '35g'}"
Egg Rolls,4.4,12,1 hr,"['1 (16 ounce) package wonton wrappers', '1 pound lean ground beef', '1 pound shrimp - peeled, deveined and coarsely chopped', '5 tablespoons soy sauce', '3 tablespoons oyster sauce', '1 pound bean sprouts', '2  green onions', '3 stalks celery, chopped', '1 medium head cabbage, finely shredded', '2 cloves garlic, minced', '1 teaspoon monosodium glutamate (MSG)', '1 cup vegetable oil']","Wontons are a great meal or appetizer. Once they have been put together you can either fry them or steam them, both ways are delicious. These egg rolls are easy to customize as well with anything from bean sprouts to cabbage, to beef, shrimp, and more.","['Place cabbage, bean sprouts, celery, and green onions in a large wok and stir-fry over high heat until vegetables cook down (add a little water if necessary). Mix in shrimp, stir-fry until cooked.', 'In a large skillet, brown ground meat. Drain grease and add the meat to the vegetable and shrimp mixture. Continue to fry over high heat; add oyster sauce, soy sauce, garlic, and MSG. When well blended, remove the mixture from heat.', 'Place a tablespoon of the meat and seafood mixture (or more, depending on how large your wonton skins are) into the center of each wonton skin. Fold the wonton skin over to make a package of the meat mixture inside, and seal the skin closed by dipping your finger in a little water and pressing the ends together to make egg rolls.', 'Fry the egg rolls in 1/4 inch vegetable oil until golden brown.']","{'Calories': '275', 'Fat': '8g', 'Carbs': '29g', 'Protein': '21g'}"
Fluffy Egg Strata,4.5,6,1 hr 30 mins,"['12 thick slices white bread, cut into 1 inch cubes', '2 cups shredded Cheddar cheese', '1 ½ cups chopped fresh mushrooms (Optional)', '¼ cup crumbled cooked bacon', '12  eggs', '2 ½ cups half-and-half', '1 teaspoon Dijon mustard']","This egg strata with cubes of bread, bacon, and Cheddar cheese, bakes up into a beautiful breakfast. A great, easy recipe for guys who want to surprise that special someone!","['Gather all ingredients', 'Toss cubed bread, cheese, mushrooms, and bacon together in a large bowl; pour into a 9x13-inch baking dish.', 'Whisk eggs, half-and-half, and mustard together until smooth; pour evenly over bread mixture.', 'You can bake the strata straightaway but for better results, cover the dish with plastic wrap and refrigerate overnight. When ready to bake, preheat the oven to 350 degrees F (175 degrees C).', 'Remove plastic wrap from the baking dish; bake strata in the preheated oven until eggs are set and top is golden brown, about 1 hour. Let stand for 10 minutes before serving.']","{'Calories': '631', 'Fat': '39g', 'Carbs': '37g', 'Protein': '33g'}"
Egg Drop Soup II,4.2,4,,"['2 (14.5 ounce) cans chicken broth', '1 tablespoon cornstarch', '1  egg, lightly beaten', '2 tablespoons chopped green onion']",This is a quick and easy recipe that tastes really good. To add a little more to this soup add one small (7 to 8 ounce) can creamed corn and omit the egg.,"['In a medium stock pot, mix cold chicken broth with cornstarch. Slowly heat over medium heat, stirring frequently.', 'Pour beaten egg into soup, and stir once around stock pot very gently, in order to break up egg. Remove soup from heat immediately, divide into four portions and garnish with green onions.']","{'Calories': '27', 'Fat': '1g', 'Carbs': '2g', 'Protein': '2g'}"
Egg Sandwich,4.5,1,10 mins,"['1  egg', '1 tablespoon milk', '1 pinch salt and black pepper to taste', '2 slices white bread', '1 slice American cheese']",This recipe is for a delicious microwave egg and cheese sandwich on toast.,"['Crack egg into a microwave-safe bowl; whisk in milk. Season with salt and black pepper. Microwave at 100% power until cooked through, 1 to 2 minutes.', 'Meanwhile, toast bread. Place cooked egg on 1 piece toast; top with cheese slice and remaining piece toast. Microwave until cheese is melted, about 15 seconds.']","{'Calories': '318', 'Fat': '16g', 'Carbs': '27g', 'Protein': '17g'}"
Egg-White Crepes,4.5,2,15 mins,"['½ cup whole wheat flour', '½ cup skim milk', '2  egg whites', '1 tablespoon vegetable oil', '1 pinch salt', '½ cup mixed frozen berries, thawed and drained', ""1 tablespoon confectioners' sugar for dusting""]","Crêpes made with whole wheat flour, skim milk, and egg whites, you'd never know they're more health-conscious than your basic crêpe from the taste.","['Whisk flour, milk, egg whites, oil, and salt together in a large bowl until smooth.', 'Lightly coat a skillet with cooking spray and place over medium heat. Pour 1/4 cup batter into the skillet and immediately rotate the skillet in a circular motion to spread batter out to edges in a thin layer. Cook until the bottom is light brown, about 2 minutes.', ""Flip crêpe; place 2 tablespoons mixed berries in center of crêpe and cook 2 minutes more. Fold crêpe in half; transfer to a serving plate using a spatula. Dust with confectioners' sugar; serve. Repeat with remaining batter, berries, and confectioners' sugar.""]","{'Calories': '228', 'Fat': '8g', 'Carbs': '33g', 'Protein': '10g'}"
Cucumbers and Egg Salad,4.2,4,1 hr 25 mins,"['4 large eggs', '4 small seedless cucumbers', '4 small dill pickles', '3 tablespoons mayonnaise']","This cucumber and egg salad is a creamy blend of hard-boiled eggs, mayonnaise, and both fresh and pickled cucumbers. It's simple to make and tastes great on sandwiches or crackers.","['Place eggs in a saucepan and cover completely with cold water; bring to a boil. Cover, remove from the heat, and let stand for 10 to 12 minutes. Transfer eggs to a colander and run under cold water to cool.', 'Peel and chop eggs. Chop cucumbers and pickles.', 'Combine eggs, cucumbers, pickles, and mayonnaise in a bowl; mix until well blended. Cover and refrigerate until chilled, about 1 hour.']","{'Calories': '176', 'Fat': '13g', 'Carbs': '8g', 'Protein': '8g'}"
Cheesesteak Egg Rolls,4.5,4,35 mins,"['1 tablespoon vegetable oil', '1  onion, chopped', '1 (12.5 ounce) package frozen sandwich steak meat', '1 (14 ounce) package egg roll wrappers', '4 slices American cheese, halved', '2 cups oil for frying, or as needed', '¼ cup ketchup']",I tried this cheesesteak egg roll recipe at a nearby restaurant and fell in love. The first attempt to make them at home was a success. It's such an easy and delicious appetizer.,"['Heat 1 tablespoon vegetable oil in a large skillet over medium heat. Cook and stir onion in hot oil until onion is translucent, about 5 minutes. Break frozen steak pieces into the skillet; cook and stir until steak is no longer pink, about 10 minutes. Remove from heat and set aside.', 'Arrange 8 egg roll wrappers on a flat surface; place a half cheese slice on each one. Layer an equal amount of steak-onion mixture on top of each cheese slice. Roll up wrappers according to package directions and seal edges, wetting with water if necessary.', 'Heat 1 inch oil in a deep fryer or large skillet to 375 degrees F (190 degrees C). Working in batches, fry egg rolls in hot oil until golden brown on all sides, about 5 minutes. Remove; drain on paper towels.', 'Serve warm egg rolls with ketchup for dipping.']","{'Calories': '779', 'Fat': '39g', 'Carbs': '66g', 'Protein': '39g'}"
Best Egg Rolls,4.4,8,40 mins,"['1 pound ground pork', '1 teaspoon ground ginger, or more to taste', '1 teaspoon garlic powder, or more to taste', '2 cups shredded cabbage', '2 ounces shredded carrots', '2 tablespoons all-purpose flour', '2 tablespoons water', '1 quart peanut oil for frying, or as needed', '8 (7 inch square) egg roll wrappers', '2 tablespoons sesame seeds (Optional)']","Crispy egg rolls filled with seasoned pork, cabbage, and carrots are a fabulous side dish to serve alongside stir-fry dishes. These homemade egg rolls are almost identical to what you'd get at a Chinese restaurant! Serve warm with egg roll sauce or soy sauce if desired.","['Gather the ingredients.', 'Season pork with ginger and garlic powder in a large bowl; mix until thoroughly combined. Place pork in a medium skillet over medium heat. Cook and stir until pork is browned and crumbly, 5 to 7 minutes.', 'Combine cooked pork, cabbage, and carrots in a large bowl; mix until egg roll filling is well combined. Mix four and water together in a small bowl until a paste forms.', 'Heat oil in a large skillet to about 375 degrees F (190 degrees C) or medium high heat. While oil is heating, prepare egg rolls: Lay one egg roll wrapper on a work surface with one corner pointed toward you like a diamond. Place about 1/4 to 1/3 cup of the filling in the center of the wrapper.', 'Fold the bottom corner up and over the filling. Fold the left and right corners in toward the center. Push the egg roll away from you and roll toward the top corner.', 'Brush a bit of the flour paste over the inside of that corner to help seal the egg roll.', 'Fry egg rolls in the hot oil, turning occasionally, until golden brown and crispy, 5 to 8 minutes. Remove from oil and drain on paper towels or rack.', 'Place egg rolls on a serving plate and sprinkle sesame seeds over top.']","{'Calories': '334', 'Fat': '21g', 'Carbs': '23g', 'Protein': '14g'}"
Delicious Egg Salad,4.7,4,35 mins,"['8 large eggs', '½ cup mayonnaise', '¼ cup chopped green onion', '1 teaspoon prepared yellow mustard', '¼ teaspoon paprika', 'salt and pepper to taste']","This egg salad recipe is the best and easy to make with chopped hard-boiled eggs, mayonnaise, and mustard. I like to add green onions for some color and crunch. It tastes wonderful in a sandwich and will definitely be devoured at picnics! It's really good on rye.","['Gather all ingredients.', 'Place eggs in a saucepan and cover with cold water. Bring water to a boil and immediately remove from heat. Cover and let eggs stand in hot water for 10 to 12 minutes.', 'Remove eggs from hot water; cool, peel, and chop.', 'Place chopped eggs in a bowl; stir in mayonnaise, green onion, and mustard. Season with paprika, salt, and pepper.', 'Stir and serve on your favorite bread, crackers, or salad greens.']","{'Calories': '333', 'Fat': '30g', 'Carbs': '2g', 'Protein': '13g'}"
Whole Egg Mayonnaise,4.5,16,5 mins,"['2 large eggs', '2 tablespoons white vinegar', '½ teaspoon dry mustard powder', '¼ teaspoon salt', '2 cups vegetable oil']","This whole egg mayonnaise recipe uses whole eggs instead of just yolks, so there's no waste. Store in a lidded container in the refrigerator for up to two weeks.","['Combine eggs, vinegar, mustard powder, and salt in the bowl of a food processor; pulse until blended. Pour oil in very slowly, with the processor running, until mayonnaise is smooth.']","{'Calories': '250', 'Fat': '28g', 'Carbs': '0g', 'Protein': '1g'}"
Shrimp Egg Foo Young,4.6,4,25 mins,"['8 ounces fresh bean sprouts', '1 cup cooked small shrimp', '4 large eggs', '⅓ cup thinly sliced green onions', '¼ teaspoon garlic powder', '2 tablespoons vegetable oil', '3 cups chicken broth', '2 tablespoons cornstarch', '2 tablespoons sugar', '2 tablespoons Chinese cooking wine, sherry, or apple cider vinegar', '2 tablespoons soy sauce']","This egg foo young recipe includes a delicious sauce to put on top of the patties. This is a very special recipe acquired when I worked at a Chinese restaurant to pay for my red 1966 VW bug when in high school! The recipe card is tattered and spotted now, but the dish is the best egg foo young I have ever had. To serve, place egg patty over steamed rice and put the sauce on top.","['Mix bean sprouts, shrimp, eggs, green onions, and garlic powder together in a large bowl until well combined.', 'Heat oil in a skillet over medium heat. Add about 1/2 cup of egg mixture into the skillet to make a patty. Repeat to add more egg patties to the skillet. Working in batches, fry patties until golden brown, about 4 minutes per side.', 'Meanwhile, to make the sauce: Whisk chicken broth, cornstarch, sugar, cooking wine, and soy sauce together in a saucepan over medium-low heat; simmer until sauce thickens, about 5 minutes.', 'Spoon sauce over egg patties.']","{'Calories': '227', 'Fat': '12g', 'Carbs': '15g', 'Protein': '15g'}"
Egg Salad with Olives,4.3,4,25 mins,"['8 eggs', '½ cup mayonnaise', '1 teaspoon ground black pepper', '¼ teaspoon paprika', '2 tablespoons chopped pimento-stuffed green olives']",This is a great egg salad with chopped pimento-stuffed olives. I got this recipe from a woman I once babysat for! Serve it on toasted bread with lettuce and a bit of chopped celery.,"['Place eggs in a saucepan and cover with water. Bring to a boil, cover, remove from heat, and let eggs stand in hot water for 10 to 12 minutes. Remove eggs from hot water, cool under cold running water, peel, and chop.', 'Combine eggs, mayonnaise, black pepper, and paprika in a bowl; mash with a potato masher or fork until smooth. Gently stir in olives. Refrigerate until ready to serve.']","{'Calories': '349', 'Fat': '33g', 'Carbs': '2g', 'Protein': '13g'}"
Egg Salad,4.0,4,30 mins,"['8 large eggs', '½  red onion, minced', '2 tablespoons prepared Dijon-style mustard', '1 tablespoon mayonnaise', '1 teaspoon dried dill weed', '1 teaspoon paprika', 'salt and pepper to taste']",This is my favorite recipe for egg salad because it uses little mayonnaise and plenty of dill.,"['Place eggs in a saucepan and cover with water. Bring to a boil, remove from heat, and let eggs stand in hot water for 15 minutes. Remove eggs from hot water, cool under cold running water, peel, and chop.', 'Combine chopped eggs, onion, mustard, mayonnaise, dill, paprika, salt, and pepper in a large bowl. Mash well using a fork or wooden spoon. Serve on bread as a sandwich or over crisp lettuce as a salad.']","{'Calories': '183', 'Fat': '13g', 'Carbs': '4g', 'Protein': '13g'}"
Egg and Spinach Casserole,4.6,12,1 hr,"['6  eggs, beaten', '¾ cup onion, chopped', '¼ cup all-purpose flour', '1 (10 ounce) package frozen chopped spinach, thawed and drained', '1 (16 ounce) package small curd cottage cheese', '1 (16 ounce) package shredded Cheddar cheese', '½ cup butter, melted', 'salt and pepper to taste']","A light spinach, egg, and cottage cheese casserole that's great for brunch.","['Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish with cooking spray.', 'Beat eggs, onion, and flour in a mixing bowl until flour is no longer lumpy. Stir in spinach, cottage cheese, Cheddar cheese, butter, salt, and pepper until evenly combined; pour into the prepared dish.', 'Bake casserole in the preheated oven until bubbly and golden brown, about 45 minutes.']","{'Calories': '313', 'Fat': '24g', 'Carbs': '6g', 'Protein': '18g'}"
Make-Ahead Baked Egg Sandwiches,4.0,6,3 hrs 30 mins,"['12  eggs, beaten', '¼ cup softened butter', '6  croissants, split', '12 slices smoked ham', '6 slices Colby-Jack cheese']","Easy baked egg breakfast sandwiches. Another frugal recipe that can be made ahead and frozen, then microwaved for fast breakfasts on the run. Try using other cheeses for extra flavor. I used Colby-Jack Slices. My boys loved this recipe!","['Preheat an oven to 350 degrees F (175 degrees C). Spray a 9x13-inch baking dish with cooking spray.', 'Pour beaten eggs into the prepared baking dish. Bake in the preheated oven until they set and are no longer runny, 8 to 10 minutes. Remove, allow to cool, and cut into 6 portions.', 'Butter the cut sides of croissants and place one portion of the cooked egg onto each croissant bottom. Top each sandwich with two slices of ham and a slice of Colby-Jack cheese. Place croissant tops on top of sandwiches; wrap each sandwich well with plastic wrap. Place sandwiches onto a baking sheet; freeze until solid, about 3 hours. Store frozen.', 'To reheat, cook a wrapped sandwich in a microwave on High until hot in the center, 1 to 2 minutes.']","{'Calories': '576', 'Fat': '41g', 'Carbs': '29g', 'Protein': '22g'}"
Avocado Egg Salad,4.7,6,20 mins,"['6 hard-boiled eggs, peeled', '2 avocados, peeled, pitted, and cubed', '½ cup minced red onion', '⅓ cup mayonnaise', '3 tablespoons chopped sweet pickles', '1 tablespoon prepared yellow mustard', 'salt and ground black pepper to taste']","This avocado egg salad turned out to be a delicious way to use my extra avocados! The rich, creamy texture of hard-boiled eggs and ripe avocado pairs perfectly with the zesty kick from red onion, pickles, and mustard. My honey loved it, too!","['Gather all ingredients.', 'Mash hard-boiled eggs lightly in a bowl with a fork.', 'Add avocado, red onion, mayonnaise, pickles, and mustard. Gently mash together until just blended; season to taste with salt and black pepper.', 'Store in the refrigerator until ready to serve.']","{'Calories': '284', 'Fat': '25g', 'Carbs': '9g', 'Protein': '8g'}"
Easy Egg Drop Soup,4.4,6,20 mins,"['1 (49.5 fluid ounce) can chicken broth', '1 bunch green onions, chopped', '⅓ cup cold water', '3 tablespoons cornstarch', '2 tablespoons soy sauce', '¼ teaspoon white sugar', '3 eggs', '2 tablespoons cold water']",This super simple egg drop soup recipe is very comforting on a dreary day.,"['Heat chicken broth in a large pot over medium-high heat; stir in green onions.', 'Whisk 1/3 cup cold water, cornstarch, soy sauce, and sugar together in a bowl until smooth; stir into broth. Bring broth mixture to a boil; simmer for 1 minute, then reduce heat to medium-low.', 'Whisk eggs and remaining 2 tablespoons cold water together in a small bowl with a fork; drizzle, a little at a time, from the fork into hot broth. Remove from heat and serve.']","{'Calories': '84', 'Fat': '3g', 'Carbs': '8g', 'Protein': '5g'}"
Fresh Semolina and Egg Pasta,4.6,8,1 hr 5 mins,"['2 cups all-purpose flour', '2 cups semolina flour', '1 pinch salt', '6 large eggs', '2 tablespoons olive oil']","Nothing beats fresh semolina pasta, and this simple recipe is the best thing ever! You can make any style of pasta you like, from fettuccine to ravioli to lasagna.","['Gather all ingredients.', 'Sift all-purpose flour, semolina flour, and a pinch of salt together in a large bowl. Make a mountain out of flour mixture on a clean surface; create a deep well in the center. Break eggs into the well and add olive oil. Whisk eggs very gently with a fork, gradually incorporating flour from the sides of the well. When mixture becomes too thick to mix with a fork, begin kneading with your hands.', 'Knead dough until it is smooth and supple, 8 to 12 minutes, Dust dough and work surface with semolina as needed to keep dough from becoming sticky. Wrap dough tightly in plastic wrap; allow it to rest at room temperature for 30 minutes.', 'Roll out dough with a pasta machine or a rolling pin to desired thickness. Cut into your favorite style of noodle or stuff with your favorite filling to make ravioli.', 'Bring a large pot of lightly salted water to a boil. Cook pasta in the boiling water until tender yet firm to the bite, 1 to 3 minutes (or longer depending on thickness). Drain immediately and toss with your favorite sauce.']","{'Calories': '197', 'Fat': '7g', 'Carbs': '24g', 'Protein': '8g'}"
